	Total Reads	Passed Reads
AZP_001	7278108	7275172
AZP_002	9983080	9977464
AZP_003	8527928	8524088
AZP_004	8712446	8708182
AZP_005	9533750	9528612
AZP_006	8163028	8159948
AZP_007	7595518	7590990
AZP_008	8136636	8131118
AZP_009	7742618	7739842
AZP_010	10852520	10847128
AZP_011	9984108	9979936
AZP_012	10933292	10929434
AZP_013	8926522	8916960
AZP_014	9467644	9463250
AZP_015	7531992	7527956
AZP_016	8205208	8201196
AZP_017	7436054	7431012
AZP_018	9494746	9488572
AZP_019	12850234	12844264
AZP_020	6882108	6879300
AZP_021	7609696	7605480
AZP_022	9855654	9849794
AZP_023	8757226	8754874
AZP_024	9836880	9833660
AZP_025	9310540	9307190
AZP_026	8308908	8305922
AZP_027	8152406	8148192
AZP_028	8945652	8941214
AZP_029	8435076	8431024
AZP_030	10055374	10050368
AZP_031	8728890	8723554
AZP_032	9198538	9194720
AZP_033	8525000	8521288
AZP_034	8813962	8811468
AZP_035	7551098	7546898
AZP_036	8329898	8324616
AZP_037	10434410	10428940
AZP_038	9193394	9188212
AZP_039	9214042	9208704
AZP_040	9214908	9211652
AZP_041	8098530	8093658
AZP_042	9185498	9179458
AZP_043	10003992	9999518
AZP_044	9641706	9635272
AZP_045	10356776	10348588
AZP_046	11996682	11984556
AZP_047	8914628	8906438
AZP_048	6902570	6897216
AZP_049	8036930	8033352
AZP_050	8293392	8287170
AZP_051	9666518	9661074
AZP_052	10221026	10212768
AZP_053	7783764	7781080
AZP_054	8266034	8262874
AZP_055	11424824	11419878
AZP_056	9751634	9747786
AZP_057	8759560	8753978
AZP_058	9105022	9099170
AZP_059	8408884	8403716
AZP_060	0	0
AZP_063	9416800	9412230
AZP_064	8794394	8787548
AZP_065	9603578	9599944
AZP_066	8822084	8816244
AZP_067	8934026	8930626
AZP_068	9721534	9715948
AZP_069	6912780	6908848
AZP_070	8220418	8216810
AZP_071	8919640	8915024
AZP_072	9133548	9129666
AZP_073	9755080	9752498
AZP_074	0	0
AZP_075	10696812	10692152
AZP_076	0	0
AZP_077	8194694	8190202
AZP_078	7718922	7714210
AZP_079	8641344	8634604
AZP_080	846	844
AZP_081	10483246	10458018
AZP_082	30774786	30764872
AZP_083	43460558	43459238
AZP_084	29776756	29744626
AZP_085	15568476	15567088
AZP_086	28276922	28267850
AZP_087	32567076	32549236
AZP_088	41740190	41726672
AZP_089	18548624	18544530
AZP_090	11851274	11784168
AZP_091	19374294	19372706
AZP_092	38631540	38627304
AZP_093	34642712	34640766
AZP_094	49413662	49395594
AZP_095	46577100	46569366
AZP_096	29294736	29276786
AZP_097	43206616	43204000
AZP_098	38239068	38234686
AZP_099	65121816	65111616
AZP_100	35910834	35867936
AZP_101	39305008	39292212
AZP_102	29450004	29439382
AZP_103	42077010	42070386
AZP_104	47672466	47668872
AZP_105	19436456	19427414
AZP_106	29380994	29373732
AZP_107	45430092	45427250
AZP_108	47582986	47579906
AZP_109	33302312	33294672
AZP_110	27610450	27602596
AZP_111	38644048	38636158
AZP_112	50481314	50462588
AZP_113	86720676	86694940
AZP_114	46201172	46182612
AZP_115	71604194	71584438
AZP_116	35687326	35680470
AZP_117	9169136	9167396
AZP_118	58029406	58015340
AZP_119	36081130	36074540
AZP_120	32326134	32307934
AZP_121	41641686	41609054
AZP_122	37773458	37758530
AZP_123	26415336	26408536
AZP_124	41044664	41038730
AZP_125	34490506	34488862
AZP_126	55162074	55152594
AZP_127	46097540	46087048
AZP_128	38657090	38653816
AZP_129	49606814	49599188
AZP_130	37325676	37324342
AZP_131	34045860	34044776
AZP_132	26512686	26507280
AZP_133	30582784	30579080
AZP_134	37492644	37479958
AZP_135	47874926	47869550
AZP_136	40412854	40410132
AZP_137	11945398	11943362
AZP_138	41903114	41901784
AZP_139	38697438	38691478
AZP_140	26545344	26540698
AZP_141	38783778	38777366
AZP_142	22341428	22338934
AZP_143	34774072	34764652
AZP_144	31292434	31288960
AZP_145	7189778	7187000
AZP_146	36013806	36012376
AZP_147	58263076	58243014
AZP_148	33947464	33945334
AZP_149	32760450	32757948
AZP_150	47811592	47797602
AZP_151	40094444	40069982
AZP_152	21007816	21005742
AZP_153	45734634	45727212
AZP_154	32691214	32682104
AZP_155	90823912	90809386
AZP_156	47240896	47234778
AZP_157	27239626	27232398
AZP_158	27196212	27191882
AZP_159	31928012	31916922
AZP_160	20846218	20843218
AZP_161	38270090	38260840
AZP_162	23806276	23800594
AZP_163	30995750	30990148
AZP_164	31987390	31965880
AZP_165	47465296	47462712
AZP_166	44664296	44659654
AZP_167	32324602	32312216
AZP_168	25957302	25954890
AZP_169	34053126	33969110
AZP_170	37618256	37614422
AZP_171	32458646	32440318
AZP_172	19450376	19447234
AZP_173	25417432	25412442
AZP_174	45259850	45231192
AZP_175	33898768	33892166
AZP_176	42596346	42593524
AZP_177	39173938	39169676
AZP_178	40776160	40774554
AZP_179	36503142	36500770
AZP_180	30244466	30240258
AZP_181	34153206	34111626
AZP_182	38207336	38199026
AZP_183	39025898	39024460
AZP_184	43638222	43636148
AZP_185	62100094	62083148
AZP_186	35669264	35662520
AZP_187	37146654	37141220
AZP_188	34153562	34151808
AZP_189	32046232	32041662
AZP_190	37395610	37391180
AZP_191	28135542	28128630
AZP_192	44145832	44137502
AZP_193	34381586	34370144
AZP_194	40766706	40756744
AZP_195	38220222	38204198
AZP_196	39693680	39690862
AZP_197	37311422	37307050
AZP_198	31688666	31687228
AZP_199	23003098	23000610
AZP_200	32210370	32205620
AZP_201	34999372	34982774
AZP_202	34222946	34214600
AZP_203	27116266	27113762
AZP_204	32195656	32193808
AZP_205	34480476	34479026
AZP_206	48601372	48598116
AZP_207	30348034	30344842
AZP_208	39893890	39885930
AZP_209	61252016	61232988
AZP_210	32160594	32155938
AZP_211	33204344	33198416
AZP_212	36399200	36396318
AZP_213	28977534	28975440
AZP_214	33439500	33437032
AZP_215	34032846	34015376
AZP_216	44326022	44318902
AZP_217	44048488	44033106
AZP_218	38188552	38186308
AZP_219	36386902	36380906
AZP_220	45384122	45377426
AZP_221	36189472	36188008
AZP_222	33020916	33011542
AZP_223	35873712	35868798
AZP_224	43606554	43594534
AZP_225	54583072	54573872
AZP_226	46901880	46894818
AZP_227	33990812	33988184
AZP_228	44288890	44285762
AZP_229	38887808	38881510
AZP_230	32649404	32642662
AZP_231	43691320	43686710
AZP_232	36394968	36389956
AZP_233	36638914	36629864
AZP_234	26563674	26561278
AZP_235	45070462	45064904
AZP_236	38023640	38020080
AZP_237	44735612	44676134
AZP_238	30089828	30087334
AZP_239	34809024	34800330
AZP_240	39381252	39378904
AZP_241	47309428	47305952
AZP_242	3557490	3544442
AZP_243	35556270	35552034
AZP_244	36926354	36913876
AZP_245	16886718	16878544
AZP_246	52675166	52669798
AZP_247	47143170	47119480
AZP_248	46888294	46880988
AZP_249	39760840	39757066
AZP_250	33099936	33096280
AZP_251	38171036	38164530
AZP_252	46662534	46656690
AZP_253	29520646	29503110
AZP_254	40682994	40680154
AZP_255	29169732	29168004
AZP_256	32777242	32775388
AZP_257	28020210	28017852
AZP_258	38708766	38706548
AZP_259	30687600	30684620
AZP_260	38418504	38413858
AZP_261	36988698	36973812
AZP_262	46904088	46899724
AZP_263	41896610	41888960
AZP_264	38183970	38177566
AZP_265	37259056	37256552
AZP_266	40952358	40948810
AZP_267	39742624	39740684
AZP_268	34563442	34560338
AZP_269	37248788	37235580
AZP_270	43854772	43850652
AZP_271	32315128	32313566
AZP_272	33607790	33602988
AZP_273	40390720	40386480
AZP_274	42129340	42117518
AZP_275	37239378	37236738
AZP_276	39314512	39306120
AZP_277	41707804	41701920
AZP_278	28214798	28213354
AZP_279	36268108	36264576
AZP_280	35760414	35754898
AZP_281	31333126	31330664
AZP_282	30405380	30397886
AZP_283	47987248	47977982
AZP_284	34402616	34394850
AZP_285	31539540	31520700
AZP_286	29721098	29719260
AZP_287	25930320	25913760
AZP_288	38132552	38131092
AZP_289	1796	1796
AZP_290	3924090	3921314
AZP_291	4007802	4004554
AZP_292	3620776	3617644
AZP_293	3325128	3320194
AZP_294	3893020	3890262
AZP_295	3486686	3483332
AZP_296	3683520	3679976
AZP_297	3573040	3569534
AZP_298	4034652	4032326
AZP_299	3348208	3345334
AZP_300	3774954	3770154
AZP_301	3761858	3758252
AZP_302	3602716	3599036
AZP_303	2661630	2659706
AZP_304	3946306	3943558
AZP_305	3894842	3893012
AZP_306	3113980	3110912
AZP_307	3823884	3819866
AZP_308	3329340	3327096
AZP_309	3935496	3932646
AZP_310	3577772	3575590
AZP_311	3315810	3313872
AZP_312	2535866	2533792
AZP_313	3601322	3598340
AZP_314	3673472	3670516
AZP_315	2324302	2321184
AZP_316	4400248	4397446
AZP_317	3826764	3822752
AZP_318	3541848	3538538
AZP_319	4386606	4383178
AZP_320	4816882	4813512
AZP_321	4017636	4014948
AZP_322	3783010	3781064
AZP_323	4034962	4032690
AZP_324	3892240	3889342
AZP_325	2921440	2918480
AZP_326	4434970	4431452
AZP_327	3930438	3928322
AZP_328	4071364	4067784
AZP_329	3245410	3243366
AZP_330	3427376	3425724
AZP_331	4352138	4349090
AZP_332	3932662	3930920
AZP_333	3624046	3620052
AZP_334	3301088	3296600
AZP_335	3631630	3628386
AZP_336	3167180	3163514
AZP_337	3503774	3501068
AZP_338	3835558	3832110
AZP_339	3983040	3979176
AZP_340	4180246	4175658
AZP_341	4017418	4012838
AZP_342	3843308	3840264
AZP_343	11124028	11108690
AZP_344	9475384	9465774
AZP_345	3506294	3502172
AZP_346	7212616	7197316
AZP_347	7862008	7854952
AZP_348	7251628	7241190
AZP_349	3793124	3789346
AZP_350	3209552	3205626
AZP_351	3199134	3196502
AZP_352	3431844	3428738
AZP_353	0	0
AZP_354	3256866	3254602
AZP_355	2955716	2952250
AZP_356	8835922	8826144
AZP_357	10478544	10469898
AZP_358	10189874	10182120
AZP_359	11080698	11070590
